hexal_id,receptor_channel,node_id,node_type,u,v
0,0,0,R1,-15,0
0,1,721,R2,-15,0
0,2,1442,R3,-15,0
0,3,2163,R4,-15,0
0,4,2884,R5,-15,0
0,5,3605,R6,-15,0
0,6,4326,R7,-15,0
0,7,5047,R8,-15,0
1,0,1,R1,-15,1
1,1,722,R2,-15,1
1,2,1443,R3,-15,1
1,3,2164,R4,-15,1
1,4,2885,R5,-15,1
1,5,3606,R6,-15,1
1,6,4327,R7,-15,1
1,7,5048,R8,-15,1
2,0,2,R1,-15,2
2,1,723,R2,-15,2
2,2,1444,R3,-15,2
2,3,2165,R4,-15,2
2,4,2886,R5,-15,2
2,5,3607,R6,-15,2
2,6,4328,R7,-15,2
2,7,5049,R8,-15,2
3,0,3,R1,-15,3
3,1,724,R2,-15,3
3,2,1445,R3,-15,3
3,3,2166,R4,-15,3
3,4,2887,R5,-15,3
3,5,3608,R6,-15,3
3,6,4329,R7,-15,3
3,7,5050,R8,-15,3
4,0,4,R1,-15,4
4,1,725,R2,-15,4
4,2,1446,R3,-15,4
4,3,2167,R4,-15,4
4,4,2888,R5,-15,4
4,5,3609,R6,-15,4
4,6,4330,R7,-15,4
4,7,5051,R8,-15,4
5,0,5,R1,-15,5
5,1,726,R2,-15,5
5,2,1447,R3,-15,5
5,3,2168,R4,-15,5
5,4,2889,R5,-15,5
5,5,3610,R6,-15,5
5,6,4331,R7,-15,5
5,7,5052,R8,-15,5
6,0,6,R1,-15,6
6,1,727,R2,-15,6
6,2,1448,R3,-15,6
6,3,2169,R4,-15,6
6,4,2890,R5,-15,6
6,5,3611,R6,-15,6
6,6,4332,R7,-15,6
6,7,5053,R8,-15,6
7,0,7,R1,-15,7
7,1,728,R2,-15,7
7,2,1449,R3,-15,7
7,3,2170,R4,-15,7
7,4,2891,R5,-15,7
7,5,3612,R6,-15,7
7,6,4333,R7,-15,7
7,7,5054,R8,-15,7
8,0,8,R1,-15,8
8,1,729,R2,-15,8
8,2,1450,R3,-15,8
8,3,2171,R4,-15,8
